Sample,ZFC ID,Target,Well,Data Set,Content,Type,Cq,Starting Quantity (SQ),Control,cDNA,fn,sample excluded,SQ,Absolute Quantity,Absolute Quantity SD,Mean Cq,Cq SD,Efficiency,Relative Quantity,Relative Quantity SD,Normalization Factor,Normalization Factor SD,Expression,Expression SD,Dose
96422_3,96422,ATP,I11,Cy5,Unkn-54,Unk,23.6870649060747,55.2988778216571,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,55.29887782165693,50.65149369803315,3.5264985567166494,23.82218851408025,0.1036673530856674,94.03659168891471,1.1643607585202456,0.08001331069421888,,,,,3
96422_3,96422,EIF,I11,HEX,Unkn-54,Unk,24.7793365404376,52.4940510302386,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,52.49405103023875,49.234637382118194,2.7317743356736077,24.882324536100526,0.08717255662117189,88.43220810680386,1.144327889150377,0.06320094620900785,,,,,3
96422_3,96422,SOD1,I11,FAM,Unkn-54,Unk,22.6216531456577,53.2605420617842,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,53.26054206178206,49.55884616859405,3.3874259227988124,22.735725348379425,0.10564643608016464,90.94998848889404,1.151075903364163,0.07866048140558964,1.154300865895458,0.05088287235610576,0.9972061334903416,0.0810932794617186,3
96422_30,96422,ATP,I07,Cy5,Unkn-52,Unk,23.8457854340892,49.7763761116849,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,49.77637611168489,51.16511765736537,1.681593170689193,23.804879863641574,0.049313769040567924,94.03659168891471,1.177796983228961,0.03850093749157929,,,,,30
96422_30,96422,EIF,I07,HEX,Unkn-52,Unk,24.8615851725136,49.8286309983923,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,49.82863099839256,51.7463467650833,1.5101241325180876,24.802487250680375,0.04629565959195016,88.43220810680386,1.203699615429306,0.03530625977603407,,,,,30
96422_30,96422,SOD1,I07,FAM,Unkn-52,Unk,22.5630221954623,55.3192352166013,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,55.31923521660269,55.68730579843405,0.669748464794855,22.55285331876165,0.018501445808980478,90.94998848889404,1.2956160118090616,0.015505285276854073,1.1906778639776996,0.026146843512263616,1.0881331139228498,0.027213039891762814,30
96422_300,96422,ATP,I03,Cy5,Unkn-50,Unk,23.8030140678584,51.2078393612255,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,51.20783936122664,56.94024912968844,3.916892313610568,23.645733548300125,0.10715634826031875,94.03659168891471,1.3088384888352165,0.09296867320347275,,,,,300
96422_300,96422,EIF,I03,HEX,Unkn-50,Unk,24.734626912239,54.0022895338433,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,54.002289533842415,57.62904288434955,2.5539526868878286,24.6332221733241,0.07114734013926818,88.43220810680386,1.339961367517164,0.06040101829656015,,,,,300
96422_300,96422,SOD1,I03,FAM,Unkn-50,Unk,22.7242894562426,49.8394254489813,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,49.83942544898015,54.44506943220546,3.112633135316378,22.589614168777725,0.09089224794036932,90.94998848889404,1.2651716799580084,0.07438306897568323,1.3243085030908528,0.05570512932552475,0.9553451306890933,0.06906256034360951,300
96423_10,96423,ATP,K09,Cy5,Unkn-65,Unk,23.864690357808,49.1564891418013,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,49.15648914180141,52.2557050815317,2.4389026570511327,23.773702715565225,0.0710382145239344,94.03659168891471,1.2023913087914582,0.056620087468504145,,,,,10
96423_10,96423,EIF,K09,HEX,Unkn-65,Unk,24.9413256590736,47.3737704031022,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,47.37377040310122,49.7984543289006,2.092349535253098,24.863587664635375,0.06638594246478531,88.43220810680386,1.157993252947504,0.0487052154387137,,,,,10
96423_10,96423,SOD1,K09,FAM,Unkn-65,Unk,22.6241615927842,53.1741933164329,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,53.17419331643101,54.653873147209964,3.0034665982495286,22.583443684514325,0.08362503632975041,90.94998848889404,1.2702314815915674,0.06870953005049282,1.1799834841993457,0.03725120408230201,1.0764824242039774,0.06742061022660584,10
96423_100,96423,ATP,K05,Cy5,Unkn-63,Unk,23.8929048094782,48.2456740209025,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,48.24567402090205,44.734424103706544,3.108956167900308,24.009671323666822,0.10605602099761295,94.03659168891471,1.0282869569866313,0.0722906827760802,,,,,100
96423_100,96423,EIF,K05,HEX,Unkn-63,Unk,24.9303380091482,47.7047099062649,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,47.704709906264064,44.50472347296803,2.408759035796201,25.041646401755475,0.08473856673487776,88.43220810680386,1.034456547334245,0.05553754540635766,,,,,100
96423_100,96423,SOD1,K05,FAM,Unkn-63,Unk,22.6456233877812,52.4411093746445,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,52.44110937464339,49.225544621003905,2.205368314574117,22.744586354536473,0.06805089270362051,90.94998848889404,1.1444971929994885,0.05037862907497592,1.0313671388953731,0.04561611833465346,1.1096894111104618,0.06924481183469236,100
96423_1000,96423,ATP,K01,Cy5,Unkn-61,Unk,23.7198449323337,54.1102430987696,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,54.11024309876998,53.52931795297304,1.0067401716917432,23.736328359921124,0.02834537763805716,94.03659168891471,1.2325521223409088,0.023159021793143133,,,,,1000
96423_1000,96423,EIF,K01,HEX,Unkn-61,Unk,24.8509239109829,50.1663445150087,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,50.16634451501002,51.69218232775711,2.2706517640100112,24.8047639834912,0.06883833966421757,88.43220810680386,1.2019645721478032,0.05242221514151866,,,,,1000
